USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.0  0.1 194048  7228 ?        Ss   May10   0:50 /usr/lib/systemd/systemd --switched-root --system --deserialize 22
root      2532  0.0  0.0      0     0 ?        S    13:06   0:00 [kworker/6:0]
root      2536  0.0  0.0      0     0 ?        S    13:07   0:00 [kworker/1:1]
root      2548  0.0  0.0      0     0 ?        S    13:07   0:00 [kworker/7:0]
root      2555  0.0  0.0      0     0 ?        S    13:07   0:00 [kworker/3:2]
root      2657  0.0  0.0      0     0 ?        S    13:09   0:00 [kworker/2:1]
root      2690  0.0  0.0      0     0 ?        S    13:10   0:00 [kworker/0:2]
root      2749  0.0  0.0      0     0 ?        S    13:12   0:00 [kworker/3:1]
root      2817  0.0  0.0      0     0 ?        S    13:15   0:00 [kworker/5:2]
root      2837  0.0  0.0      0     0 ?        S    13:17   0:00 [kworker/6:2]
root      2856  0.0  0.0      0     0 ?        S    13:17   0:00 [kworker/2:0]
root      2867  0.0  0.0      0     0 ?        S    13:18   0:00 [kworker/1:0]
allanliu  2868  0.0  0.0 165624  1900 pts/0    R+   13:18   0:00 ps aux
zlang     6463  0.0  0.0 114740   552 ?        Ss   May12   0:00 rsync --daemon --port=4444 --config=/var/tmp/d161770d-4acb-48c0-9686-c6b4563b0dea/rsyncd.conf
root      7502  0.0  0.0      0     0 ?        S    May14   0:00 [kworker/4:1]
chrony    8251  0.0  0.0 100480  1560 ?        S    May10   0:01 /usr/sbin/chronyd
root     27657  0.0  0.0      0     0 ?        S    06:47   0:00 [kworker/2:2]
root     32256  0.0  0.0      0     0 ?        S    May12   0:00 [nfsv4.0-svc]
root     32467  0.0  0.0      0     0 ?        S    11:01   0:00 [kworker/u16:2]
